Y bdr flr fp rms st lot bth gar
1 53 2 967 0 5 0 39 1.5 0
2 55 2 815 1 5 0 33 1 2
3 56 3 900 0 5 1 35 1.5 1
4 58 3 1007 0 6 1 24 1.5 2
5 64 3 1100 1 7 0 50 1.5 1.5
6 44 4 897 0 7 0 25 2 1
7 49 5 1400 0 8 0 30 1 1
8 70 3 2261 0 6 0 29 1 2
9 72 4 1290 0 8 1 33 1.5 1.5
10 82 4 2104 0 9 0 40 2.5 1
11 85 8 2240 1 12 1 50 3 2
12 45 2 641 0 5 0 25 1 0
13 47 3 862 0 6 0 25 1 0
14 49 4 1043 0 7 0 30 1.5 0
15 56 4 1325 0 8 0 50 1.5 0
16 60 2 782 0 5 1 25 1 0
17 62 3 1126 0 7 1 30 2 0
18 64 4 1226 0 8 0 37 2 2
19 66 2 929 1 5 0 30 1 1
20 35 4 1137 0 7 0 25 1.5 0
21 38 3 743 0 6 0 25 1 0
22 43 3 596 0 5 0 50 1 0
23 46 2 803 0 5 0 27 1 0
24 46 2 696 0 4 0 30 2 1
25 50 2 691 0 6 0 30 1 2
26 65 3 1023 0 7 1 30 2 1
